time (UTC),latitude (degrees_north),longitude (degrees_east),cruise,haul_no,vessel,station,catch,species_code,common_name,sci_name,species_group,maturity,species_notes,aphiaid,match_type,lsid,station_latitude (degrees_north),station_longitude (degrees_east),ctd_index,station_bottom_depth (meters),area,strata,tdr_depth (meters),depth_strata,bottom_depth (meters),station_active,station_notes
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,364,SLENDER SOLE,Lyopsetta exilis,Flatfish,Y,NULL,281452,exact,urn:lsid:marinespecies.org:taxname:281452,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,2,364,SLENDER SOLE,Lyopsetta exilis,Flatfish,A,NULL,281452,exact,urn:lsid:marinespecies.org:taxname:281452,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,369,SLENDER SNIPEFISH,Macroramphosus gracilis,Fish,U,NULL,275181,exact,urn:lsid:marinespecies.org:taxname:275181,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,376,BIGSCALE,Melamphaidae,Fish,U,NULL,125599,exact,urn:lsid:marinespecies.org:taxname:125599,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,378,DRAGONFISH,Melanostomiidae,Fish,U,NULL,196075,exact,urn:lsid:marinespecies.org:taxname:196075,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,382,PACIFIC HAKE,Merluccius productus,Other Groundfish,A,NULL,272458,exact,urn:lsid:marinespecies.org:taxname:272458,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,552,382,PACIFIC HAKE,Merluccius productus,Other Groundfish,Y,NULL,272458,exact,urn:lsid:marinespecies.org:taxname:272458,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,387,DOVER SOLE,Microstomus pacificus,Flatfish,A,NULL,274294,exact,urn:lsid:marinespecies.org:taxname:274294,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,387,DOVER SOLE,Microstomus pacificus,Flatfish,Y,NULL,274294,exact,urn:lsid:marinespecies.org:taxname:274294,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,392,COMMON MOLA,Mola mola,Fish,U,NULL,127405,exact,urn:lsid:marinespecies.org:taxname:127405,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,407,MYCTOPHID,Myctophidae,Myctophid,U,Does not include California headlightfish and blue lanternfish.  Additional species were enumerated seperately over time such as the California lanternfish (see notes on species for years enumerated).,125498,exact,urn:lsid:marinespecies.org:taxname:125498,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,418,SNIPE EEL,Nemichthyidae,Fish,U,NULL,125432,exact,urn:lsid:marinespecies.org:taxname:125432,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,438,PINK SALMON,Oncorhynchus gorbuscha,Salmonid,A,NULL,127182,exact,urn:lsid:marinespecies.org:taxname:127182,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,440,SILVER SALMON,Oncorhynchus kisutch,Salmonid,A,NULL,127184,exact,urn:lsid:marinespecies.org:taxname:127184,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,440,SILVER SALMON,Oncorhynchus kisutch,Salmonid,Y,NULL,127184,exact,urn:lsid:marinespecies.org:taxname:127184,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,442,KING SALMON,Oncorhynchus tshawytscha,Salmonid,A,NULL,158075,exact,urn:lsid:marinespecies.org:taxname:158075,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,442,KING SALMON,Oncorhynchus tshawytscha,Salmonid,Y,NULL,158075,exact,urn:lsid:marinespecies.org:taxname:158075,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,443,SALMON,Oncorhynchus spp.,Salmonid,A,NULL,126140,exact,urn:lsid:marinespecies.org:taxname:126140,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,443,SALMON,Oncorhynchus spp.,Salmonid,Y,NULL,126140,exact,urn:lsid:marinespecies.org:taxname:126140,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,448,LINGCOD,Ophiodon elongatus,Other Groundfish,A,NULL,240745,exact,urn:lsid:marinespecies.org:taxname:240745,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,448,LINGCOD,Ophiodon elongatus,Other Groundfish,Y,NULL,240745,exact,urn:lsid:marinespecies.org:taxname:240745,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,453,SMELT,Osmeridae,Smelt,A,NULL,125513,exact,urn:lsid:marinespecies.org:taxname:125513,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,453,SMELT,Osmeridae,Smelt,Y,NULL,125513,exact,urn:lsid:marinespecies.org:taxname:125513,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,458,PAINTED GREENLING,Oxylebius pictus,Other Groundfish,Y,NULL,240743,exact,urn:lsid:marinespecies.org:taxname:240743,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,465,BARRACUDINA,Paralepididae,Fish,U,NULL,125447,exact,urn:lsid:marinespecies.org:taxname:125447,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,466,CALIFORNIA HALIBUT,Paralichthys californicus,Flatfish,A,NULL,275809,exact,urn:lsid:marinespecies.org:taxname:275809,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,469,ENGLISH SOLE,Parophrys vetulus,Flatfish,A,NULL,254393,exact,urn:lsid:marinespecies.org:taxname:254393,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,5,472,PACIFIC POMPANO,Peprilus simillimus,Fish,U,NULL,276563,exact,urn:lsid:marinespecies.org:taxname:276563,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,487,STARRY FLOUNDER,Platichthys stellatus,Flatfish,Y,NULL,154781,exact,urn:lsid:marinespecies.org:taxname:154781,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,487,STARRY FLOUNDER,Platichthys stellatus,Flatfish,A,NULL,154781,exact,urn:lsid:marinespecies.org:taxname:154781,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,491,SPOOKFISH,Opisthoproctidae,Fish,U,NULL,125512,exact,urn:lsid:marinespecies.org:taxname:125512,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,492,RIGHT EYED FLATFISH,Pleuronectidae,Flatfish,Y,NULL,125579,exact,urn:lsid:marinespecies.org:taxname:125579,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,494,CURLFIN SOLE,Pleuronichthys decurrens,Flatfish,A,NULL,282292,exact,urn:lsid:marinespecies.org:taxname:282292,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,497,TURBOT,Pleuronichthys spp.,Flatfish,Y,NULL,270459,exact,urn:lsid:marinespecies.org:taxname:270459,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
